Degree,Specialization,CGPA,JobRole
B.Tech,Computer Science,8.5,Software Engineer
B.Tech,Data Science,9.2,Data Scientist
B.Sc,IT,7.8,System Administrator
MBA,Finance,8.1,Financial Analyst
MBA,Marketing,7.5,Marketing Executive
B.Com,Finance,8.0,Accountant
M.Tech,AI,9.5,Machine Learning Engineer
MCA,Computer Science,8.2,Software Developer
B.Tech,Mechanical,7.2,Mechanical Engineer
B.Tech,ECE,7.9,Embedded Systems Engineer
B.Sc,Data Science,8.8,Data Analyst
MBA,Finance,8.4,Investment Banker
B.Tech,Computer Science,9.0,DevOps Engineer
M.Tech,Data Science,9.3,Data Scientist
MCA,IT,7.6,Web Developer
B.Com,Marketing,7.4,Sales Executive
B.Tech,AI,9.1,AI Researcher
B.Sc,Computer Science,8.0,Software Engineer
MBA,Marketing,8.2,Brand Manager
B.Tech,Mechanical,7.5,Production Engineer
B.Tech,ECE,8.3,Network Engineer
M.Tech,Computer Science,9.4,Senior Software Engineer
MCA,Data Science,8.7,Data Analyst
B.Sc,IT,7.2,Technical Support
B.Com,Finance,8.6,Financial Consultant
MBA,Finance,7.9,Risk Analyst
B.Tech,Computer Science,8.4,Software Engineer
B.Tech,Data Science,8.9,Data Scientist
B.Sc,Computer Science,7.5,Database Administrator
M.Tech,AI,9.6,AI Engineer
MCA,Computer Science,8.1,Software Developer
B.Tech,IT,7.8,System Engineer
MBA,Marketing,8.0,Marketing Manager
B.Com,Finance,7.7,Accountant
B.Tech,Mechanical,8.2,Design Engineer
B.Tech,ECE,7.6,Electronics Engineer
M.Tech,Data Science,9.0,Data Scientist
MCA,IT,8.3,Full Stack Developer
B.Sc,Data Science,8.5,Data Analyst
MBA,Finance,8.8,Portfolio Manager
